"country","pre_rmspe","post_rmspe","ratio"
"Portugal",1413.55882824892,1560.05274449436,1.10363482107562
"Denmark",356.889715753939,467.213131790811,1.30912467119937
"France",715.541528638788,1059.82945993581,1.48115716211744
"Netherlands",338.372832331378,674.263426141058,1.99266419084359
"Japan",1359.74648324152,2750.8867538446,2.023087970992
"UK",874.382269582543,1808.77352693865,2.06863015166377
"Austria",590.470327391486,1233.84291332041,2.08959342423038
"Switzerland",1173.54363247361,2771.8208943122,2.36192402021706
"Belgium",575.718971473063,1452.48609591019,2.5229081685354
"Australia",221.732144310815,586.190139065668,2.64368588004079
"Spain",520.765894402214,1557.25568514197,2.99031811007812
"USA",1825.13895949467,5745.11251963614,3.14776718219132
"New Zealand",646.03081098935,2324.86818237126,3.59869551548306
"Italy",177.478358254974,799.263081618855,4.50343968401261
"Greece",644.219249275392,3952.9654691807,6.13605612317069
"Norway",729.657620836919,5827.42903412719,7.98652527940861
"West Germany",119.639559165464,1945.8445860829,16.2642239712014
