"year","actual_west_germany","synthetic_west_germany","gap"
1960,2948.85022646903,2919.22738886402,29.6228376050112
1961,3044.49566708318,3051.15582760993,-6.66016052675695
1962,3149.16388568397,3160.92693756064,-11.7630518766669
1963,3207.36370383778,3265.92582615883,-58.5621223210514
1964,3386.43477975643,3435.75838421222,-49.3236044557912
1965,3528.15082962353,3546.57644571995,-18.4256160964178
1966,3593.80839058621,3678.82619120922,-85.017800623008
1967,3574.41717733894,3797.58962797271,-223.172450633764
1968,3756.533267347,3971.0918369539,-214.558569606893
1969,3998,4184.45232043772,-186.45232043772
1970,4159.29823525228,4328.85724447714,-169.559009224856
1971,4244.4018055024,4467.63968505271,-223.237879550303
1972,4400.57046926368,4642.51142539335,-241.940956129673
1973,4587.92929124632,4827.17941611103,-239.250124864719
1974,4623.09015934633,4856.37179864196,-233.281639295629
1975,4599.67902788316,4720.29470632592,-120.615678442759
1976,4850.6561172035,4824.0721844099,26.5839327935973
1977,5023.62708721865,4982.98397908907,40.6431081295796
1978,5181.05833874197,5077.20160544872,103.856733293248
1979,5393.04959302654,5233.01394167673,160.03565134981
1980,5450.89967870301,5334.99938511083,115.900293592187
1981,5469.37963631366,5387.91595394135,81.463682372314
1982,5451.67921126431,5358.43399782073,93.2452134435744
1983,5556.59648368988,5464.90780772674,91.6886759631307
1984,5736.57980821366,5629.74582552769,106.83398268597
1985,5884.99414365064,5809.74094185618,75.2532017944604
1986,6015.37220153924,5930.17905214836,85.1931493908796
1987,6098.48346892123,6045.58768150694,52.8957874142843
1988,6286.31656359456,6257.98086975401,28.3356938405495
1989,6466.72247671282,6481.84358126371,-15.1211045508981
1990,6678.43759506439,6671.49829766069,6.93929740369458
1991,6929.54068725047,6691.39066745622,238.150019794245
1992,6947.173106302,6717.39221858224,229.780887719763
1993,6744.4002872094,6701.73242207961,42.6678651297962
1994,6823.7461729413,6798.51476533781,25.2314076034909
1995,6859.01101104433,6898.71940871083,-39.708397666499
1996,6894.2758491474,7024.48735972753,-130.211510580127
1997,7008.88657298233,7177.1257895209,-168.239216538573
1998,7167.5783444461,7335.44241385395,-167.864069407852
1999,7308.6376968583,7491.18807013947,-182.550373281173
2000,7520.22672547663,7721.23906062682,-201.012335150193
2001,7634.83744931156,7773.78287625772,-138.945426946159
2002,7581.94019215699,7772.56799765198,-190.62780549499
2003,7520.22672547663,7808.00021573755,-287.773490260919
