"country","pre_rmspe","post_rmspe","ratio"
"Portugal",2621.77808744567,678.574705647845,0.25882232706772
"Belgium",1122.25978710119,332.305095780647,0.296103540018124
"France",1390.82731580998,662.722265558089,0.476495002668349
"Austria",1320.20100408579,736.862421068657,0.558144115015968
"New Zealand",2636.03836195288,2008.94185869958,0.76210645781774
"UK",1793.83492828856,1405.04216220452,0.783261681466438
"Switzerland",3288.14971101799,2849.38356032259,0.866561382766371
"Netherlands",932.715918152194,877.127821763823,0.940401900185753
"Italy",542.194631995496,534.494395751807,0.98579802198456
"Spain",1846.02554231537,1928.33855972896,1.04458931663012
"Denmark",401.867507034908,458.51594944241,1.14096298261452
"Japan",2014.01425219559,2491.0377269669,1.23685208495982
"Norway",2491.85618500908,5407.92498486,2.17023960587849
"USA",1561.48105340217,3501.58162140089,2.24247461329845
"West Germany",400.478108323714,1285.05294088938,3.20879697087125
"Greece",989.601689975549,3830.58685417015,3.87083701753258
"Australia",434.829942413521,1780.24406508081,4.09411563334295
