"country","year","Abadie_et_al","OECD Constant"
"Australia",1960,2373,19310.149344
"Australia",1961,2346,19099.242945
"Australia",1962,2539,19906.037148
"Australia",1963,2717,20892.112631
"Australia",1964,2873,21699.959057
"Australia",1965,2973,21781.782317
"Australia",1966,3230,22760.565031
"Australia",1967,3404,23503.440037
"Australia",1968,3788,24675.985634
"Australia",1969,4162,25888.969781
"Australia",1970,4490,26379.84342
"Australia",1971,4677,26300.470274
"Australia",1972,5013,26564.933381
"Australia",1973,5595,27239.437309
"Australia",1974,6024,27168.979879
"Australia",1975,6683,27599.068316
"Australia",1976,7140,28305.123167
"Australia",1977,7482,28215.235296
"Australia",1978,8272,29054.340754
"Australia",1979,9174,29584.431382
"Australia",1980,10203,30149.509758
"Australia",1981,11513,30910.095638
"Australia",1982,11537,29703.25265
"Australia",1983,12300,30645.326752
"Australia",1984,13120,31877.951633
"Australia",1985,14019,32703.819314
"Australia",1986,14537,33059.107339
"Australia",1987,15554,34434.838216
"Australia",1988,16524,35188.136631
"Australia",1989,17255,35835.263037
"Australia",1990,17322,35173.84275
"Australia",1991,17652,34877.107793
"Australia",1992,18496,35884.467473
"Australia",1993,19432,36982.310956
"Australia",1994,20583,38051.092202
"Australia",1995,21773,39083.69369
"Australia",1996,22562,40123.130708
"Australia",1997,23649,41542.214358
"Australia",1998,24853,43198.102209
"Australia",1999,26283,44403.684692
"Australia",2000,27403,44787.382349
"Australia",2001,28492,45975.616377
"Australia",2002,29819,46860.513331
"Australia",2003,31273,48281.498627
"Austria",1970,3732,24261.139706
"Austria",1971,4100,25386.051111
"Austria",1972,4513,26808.30143
"Austria",1973,4969,27962.825184
"Austria",1974,5622,29015.885175
"Austria",1975,6147,28987.051443
"Austria",1976,6810,30365.875044
"Austria",1977,7588,31896.208204
"Austria",1978,8117,31854.79727
"Austria",1979,9288,33618.421515
"Austria",1980,10312,34200.483341
"Austria",1981,11242,34064.15326
"Austria",1982,12148,34724.357826
"Austria",1983,13048,35814.573508
"Austria",1984,13533,35835.193235
"Austria",1985,14296,36713.363035
"Austria",1986,14921,37534.416427
"Austria",1987,15549,38019.753407
"Austria",1988,16595,39217.279386
"Austria",1989,17768,40558.555566
"Austria",1990,19070,41999.817707
"Austria",1991,20172,43013.687466
"Austria",1992,20960,43433.54078
"Austria",1993,21220,43303.786771
"Austria",1994,22139,44173.65104
"Austria",1995,22976,45282.81291
"Austria",1996,24008,46223.727028
"Austria",1997,24472,47162.133231
"Austria",1998,25314,48755.921535
"Austria",1999,26558,50491.754805
"Austria",2000,28359,51977.056466
"Austria",2001,28855,52460.384947
"Austria",2002,29942,52976.732845
"Austria",2003,30796,53343.073533
