"country","year","Abadie_et_al","OECD_Current"
"Australia",1960,2373,2412.764873
"Australia",1961,2346,2383.322879
"Australia",1962,2539,2577.466847
"Australia",1963,2717,2752.620592
"Australia",1964,2873,2902.715621
"Australia",1965,2973,3002.023388
"Australia",1966,3230,3275.594754
"Australia",1967,3404,3447.128012
"Australia",1968,3788,3833.217918
"Australia",1969,4162,4208.014078
"Australia",1970,4490,4652.167785
"Australia",1971,4677,4863.656325
"Australia",1972,5013,5210.815587
"Australia",1973,5595,5796.537627
"Australia",1974,6024,6245.992541
"Australia",1975,6683,6939.246847
"Australia",1976,7140,7396.956873
"Australia",1977,7482,7727.675082
"Australia",1978,8272,8554.076462
"Australia",1979,9174,9456.892085
"Australia",1980,10203,10478.629596
"Australia",1981,11513,11956.76393
"Australia",1982,11537,11989.097136
"Australia",1983,12300,12781.663982
"Australia",1984,13120,13609.675706
"Australia",1985,14019,14514.830681
"Australia",1986,14537,14984.314102
"Australia",1987,15554,16053.651024
"Australia",1988,16524,17129.659482
"Australia",1989,17255,17834.902612
"Australia",1990,17322,17837.754559
"Australia",1991,17652,18177.177189
"Australia",1992,18496,19157.432212
"Australia",1993,19432,20184.772974
"Australia",1994,20583,21434.245193
"Australia",1995,21773,22444.078903
"Australia",1996,22562,23290.992089
"Australia",1997,23649,24478.195475
"Australia",1998,24853,25725.620951
"Australia",1999,26283,27160.366948
"Australia",2000,27403,28333.130067
"Australia",2001,28492,29562.481724
"Australia",2002,29819,30823.387649
"Australia",2003,31273,32408.999795
"Austria",1970,3732,3811.927277
"Austria",1971,4100,4190.866825
"Austria",1972,4513,4616.969782
"Austria",1973,4969,5079.704144
"Austria",1974,5622,5745.323623
"Austria",1975,6147,6271.252412
"Austria",1976,6810,6931.104472
"Austria",1977,7588,7732.766386
"Austria",1978,8117,8265.930244
"Austria",1979,9288,9447.325131
"Austria",1980,10312,10479.053378
"Austria",1981,11242,11424.872478
"Austria",1982,12148,12365.839985
"Austria",1983,13048,13253.631425
"Austria",1984,13533,13739.689217
"Austria",1985,14296,14521.549472
"Austria",1986,14921,15145.297739
"Austria",1987,15549,15720.490419
