"year","gap"
1960,8.28571671975771
1961,7.97168644660285
1962,8.4303878506776
1963,7.73756379336962
1964,7.90720281684992
1965,8.73872901271646
1966,7.43901527863397
1967,5.85698384785063
1968,6.19099084444426
1969,6.34144857812292
1970,5.34856746440811
1971,4.32409767827374
1972,3.27108955016803
1973,3.03417510965349
1974,2.15367665616574
1975,1.91060118577937
1976,2.80690188276613
1977,2.26888174415062
1978,3.78313656676038
1979,3.23724434682171
1980,2.45262020652713
1981,2.34245451765381
1982,0.552603264682702
1983,0.101409525371466
1984,1.53294192804766
1985,1.44369338154738
1986,1.40664035695458
1987,0.820750661878321
1988,0.329539013495292
1989,-0.949314605257086
1990,-8.06691268289208
1991,-5.03793427848083
1992,-6.22050375373338
1993,-9.64056303571408
1994,-11.0055512107258
1995,-13.602803267485
1996,-16.2797399405077
1997,-17.4340381592003
1998,-18.6588779062329
1999,-20.4753470168292
2000,-21.7026830358298
2001,-21.6060693467845
2002,-24.3205905957926
2003,-26.7782944046301
