"year","gap"
1960,5.8161778108297
1961,5.8051079645313
1962,5.98979825226442
1963,4.89142608130217
1964,5.22626878280326
1965,6.05534467932482
1966,3.99826296767925
1967,1.34693758839688
1968,1.88708250987636
1969,2.71710059230359
1970,1.46406190394347
1971,0.344100943729771
1972,-0.564343669246512
1973,-0.839105742274455
1974,-1.60644687796733
1975,-0.979908142042788
1976,0.718676895532482
1977,0.293731373380552
1978,1.33808129184325
1979,1.7016708304657
1980,1.39620166221394
1981,0.787513333624105
1982,0.287571385262737
1983,-0.181938511001107
1984,0.490140028203498
1985,0.0485907118175106
1986,0.209380439970943
1987,-0.080574729930845
1988,-0.37187041787142
1989,-0.808791391332846
1990,-0.0474410303792041
1991,1.05319723221929
1992,0.277188174523189
1993,-2.61263751635975
1994,-4.0635259152365
1995,-4.48540604260086
1996,-5.18673293379523
1997,-6.55843727312676
1998,-6.48218318679854
1999,-6.65271914257124
2000,-7.68082109511184
2001,-8.01400001589263
2002,-8.19665218683255
2003,-9.01850022278317
