"year","gap"
1960,0.828334833254988
1961,0.843134639239663
1962,0.92061180840518
1963,0.78443486489514
1964,0.886816919274214
1965,1.09862434181884
1966,0.791084471502554
1967,0.288816354560218
1968,0.430899270489462
1969,0.655111214946928
1970,0.379091315765102
1971,0.113889499225458
1972,-0.135096121314966
1973,-0.237992501202442
1974,-0.51772132580863
1975,-0.335471806522058
1976,0.313600888864464
1977,0.157292672367412
1978,0.695927062372803
1979,0.971768316326227
1980,0.870732713947078
1981,0.567820763766953
1982,0.244144781687702
1983,-0.0848319042708141
1984,0.448059093538888
1985,0.0987718603483216
1986,0.245453651886848
1987,-0.0182151282399445
1988,-0.312322181436841
1989,-0.799895077675274
1990,0.0260095837460881
1991,1.28643872101719
1992,0.405799096794297
1993,-3.17136599743196
1994,-5.22853104611113
1995,-5.98232316187649
1996,-7.25006032885054
1997,-9.64302122275484
1998,-9.93216541121765
1999,-10.6975351037695
2000,-12.95268895529
2001,-13.821782737159
2002,-14.4655771122681
2003,-16.5177452977996
