"year","actual_west_germany","synthetic_west_germany","gap"
1960,2284,2117.00579648755,166.994203512455
1961,2388,2218.65319336073,169.346806639267
1962,2527,2341.52664519359,185.47335480641
1963,2610,2452.51636795019,157.483632049805
1964,2806,2627.3277909775,178.672209022503
1965,3005,2782.91710948534,222.082890514659
1966,3168,3008.87229218245,159.127707817547
1967,3241,3184.18499333597,56.8150066640314
1968,3571,3484.51229134362,86.4877086563765
1969,3998,3864.66357985732,133.336420142684
1970,4367,4290.6891873567,76.3108126432962
1971,4686,4664.16281589495,21.8371841050457
1972,5055,5084.44532282783,-29.4453228278335
1973,5553,5603.4049342415,-50.4049342415046
1974,6074,6182.17083871411,-108.170838714106
1975,6603,6672.88102288504,-69.8810228850416
1976,7367,7303.86084973895,63.1391502610468
1977,8090,8058.93155076504,31.0684492349628
1978,8928,8785.72156902372,142.278430976283
1979,10067,9869.05364989895,197.946350101052
1980,11083,10906.8534185445,176.146581455503
1981,12115,12001.091648677,113.908351322953
1982,12761,12714.6052726732,46.3947273267822
1983,13519,13540.3170585348,-21.3170585347543
1984,14481,14392.3166434765,88.6833565234847
1985,15291,15273.6699572208,17.3300427792074
1986,15998,15950.3300954324,47.6699045675905
1987,16679,16684.8576201925,-5.85762019250251
1988,17786,17851.1751046332,-65.1751046332138
1989,18994,19157.0640852072,-163.064085207174
1990,20465,20456.9700966071,8.02990339294047
1991,21602,21333.7922850502,268.207714949804
1992,22154,22065.7238425118,88.2761574881588
1993,21878,22520.6108765844,-642.610876584382
1994,22371,23435.1188103907,-1064.11881039067
1995,23035,24252.4537051143,-1217.45370511429
1996,23742,25216.3098930331,-1474.30989303312
1997,24156,26118.9992110493,-1962.99921104926
1998,24931,26953.8393152117,-2022.83931521175
1999,25755,27936.2638739597,-2181.2638739597
2000,26943,29587.0226826143,-2644.02268261428
2001,27449,30266.6060955431,-2817.60609554313
2002,28348,31300.7509800707,-2952.75098007072
2003,28855,32227.8070726184,-3372.80707261844
