"year","gap"
1960,3.73850192791397
1961,3.41788129634693
1962,3.7633326899562
1963,2.91890231521612
1964,3.20736556901394
1965,3.87065343700093
1966,2.54489563675323
1967,0.69398724544984
1968,1.27122576467841
1969,1.62733337031167
1970,1.1165120420208
1971,0.280667530820395
1972,-0.527960642526509
1973,-0.753303190210175
1974,-2.50122533117337
1975,-2.54174416958469
1976,-2.0328926189749
1977,-2.75408131545683
1978,-1.2392253235822
1979,-1.85228472680345
1980,-2.12562328802323
1981,-1.85419492473451
1982,-3.62570473611501
1983,-4.29956999290371
1984,-2.23778017238411
1985,-2.01125981258316
1986,-2.00058060446045
1987,-2.35676168014227
1988,-2.64664070260325
1989,-3.14377237816112
1990,-2.14004894761212
1991,0.229724279419443
1992,-0.541558948775091
1993,-3.18970539178244
1994,-4.06357899027934
1995,-6.0320483730512
1996,-7.56678115113539
1997,-8.11204406519678
1998,-9.23070355902458
1999,-10.8904654126798
2000,-11.3788045944145
2001,-10.8038863186627
2002,-12.5903980160112
2003,-14.32080642713
