"year","p_value"
1960,0.0588235294117647
1961,0.294117647058824
1962,0.294117647058824
1963,0.176470588235294
1964,0.647058823529412
1965,0.411764705882353
1966,0.941176470588235
1967,0.294117647058824
1968,0.294117647058824
1969,0.352941176470588
1970,0.117647058823529
1971,0.235294117647059
1972,0.117647058823529
1973,0.117647058823529
1974,0.235294117647059
1975,0.235294117647059
1976,0.176470588235294
1977,0.235294117647059
1978,0.176470588235294
1979,0.294117647058824
1980,0.176470588235294
1981,0.117647058823529
1982,0.117647058823529
1983,0.0588235294117647
1984,0.117647058823529
1985,0.0588235294117647
1986,0.0588235294117647
1987,0.235294117647059
1988,0.117647058823529
1989,0.0588235294117647
1990,0.0588235294117647
1991,0.176470588235294
1992,0.117647058823529
1993,0.117647058823529
1994,0.176470588235294
1995,0.117647058823529
1996,0.0588235294117647
1997,0.176470588235294
1998,0.294117647058824
1999,0.176470588235294
2000,0.176470588235294
2001,0.176470588235294
2002,0.0588235294117647
2003,0.117647058823529
