"year","actual_west_germany","synthetic_west_germany","gap"
1960,10391.4902794206,9510.48067658076,881.009602839829
1961,10728.5364465984,9960.43261930791,768.103827290493
1962,11097.3780942316,10304.2835517304,793.094542501238
1963,11302.4691630084,10675.3550648805,627.114098127944
1964,11933.4999722477,11268.283108936,665.216863311731
1965,12432.8949369066,11647.417494174,785.477442732599
1966,12664.2664390568,12192.211357236,472.055081820758
1967,12595.9334996093,12593.7424434999,2.19105610939732
1968,13237.69467217,13209.23035791,28.4643142600689
1969,14088.6023183585,13969.4809126463,119.121405712165
1970,14657.0031915757,14485.589951151,171.413240424728
1971,14956.9007296263,14991.4481763133,-34.5474466869327
1972,15507.2254415628,15699.949170327,-192.723728764202
1973,16167.4615430509,16384.5728773976,-217.111334346704
1974,16291.3653669202,16575.3893841607,-284.024017240457
1975,16208.8665872785,16343.9455772415,-135.078989962931
1976,17093.2878985475,16879.4068180557,213.881080491832
1977,17702.8224681234,17540.2645293467,162.557938776707
1978,18257.5964289021,17823.6947967318,433.901632170287
1979,19004.6350673677,18528.5687328458,476.066334521845
1980,19208.4937094834,18831.6338906364,376.859818847039
1981,19273.6154637697,18981.8425215102,291.772942259489
1982,19211.2407140483,19060.9505325673,150.290181481007
1983,19580.9600055767,19555.1487027497,25.8113028269909
1984,20215.2054991114,20008.9204890617,206.285010049691
1985,20738.2046362587,20625.5665154646,112.638120794163
1986,21197.6455088532,21085.2165850655,112.428923787651
1987,21490.5223458515,21506.2085472679,-15.6862014163198
1988,22152.4297428198,22291.116942717,-138.687199897136
1989,22788.1644016001,23083.2891061784,-295.124704578298
1990,23534.2299611897,23805.1899421321,-270.959980942378
1991,24419.0952955369,24082.5850782686,336.51021726822
1992,24481.23039807,24257.3592319643,223.871166105782
1993,23766.6767189385,24210.448635519,-443.771916580547
1994,24046.2846803378,24612.8563666623,-566.571686324474
1995,24170.5548854041,25085.0095802855,-914.454694881431
1996,24294.8250904705,25607.0463902386,-1312.22129976815
1997,24698.7032569361,26130.6045934357,-1431.90133649964
1998,25257.9191797347,26726.1186930632,-1468.19951332852
1999,25755,27381.3741538888,-1626.37415388884
2000,26500.6212303981,28193.4527184448,-1692.83148804676
2001,26904.4993968637,28377.7292136793,-1473.22981681564
2002,26718.0940892642,28484.3714552765,-1766.27736601225
2003,26500.6212303981,28691.3573137661,-2190.73608336808
